"Bối cảnh trong nước, Quốc tế và việc nghiên cứu xây dựng chiến lược 2011-2020","SC","","","Trung tâm thông tin và Dự báo Kinh tế-  Xã hội Quốc gia","2008","241tr; 24cm","","B452C","Tiếng Việt","H","dd330.959 7","Việt Nam trong bối cảnh tình hình kinh tế Thế giới và khu vực,việc thực hiện mục tiêu và xây dựng chiến lược kinh tế 2011-2020","","","<Bộ Kế hoạch và Đầu tư>","<Kinh tế học>","<D.3227.TK><M.3226.TK>"
"Tư tưởng Hồ Chí Minh và Triết học phát triển","SC","","","Tổng HợpTP.HCM","2007","286tr; 20.5cm","","T550T","Tiếng Việt","Tp.HCM","dda335.434 6","Tập hợp nhiều chuyên đề,bài viết trong nhiều năm về tư tưởng Hồ Chí Minh đối với sự phát triển xã hội","","","<Hồ Bá Thâm>","<Tư tưởng Hồ Chí Minh>","<D.3231.TK><M.3228.TK><M.3229.TK><M.3220.TK><C.3232.TK>"
"100 điều không nên nói với con","SC","","","Thanh Niên","2008","244tr; 20,5cm","","M458TR","Tiếng Việt","H","bb155.4","Gồm 100 lời khuyên những điều không nên nói với con","","","<Lê Đức Trung>","<Tâm lý trẻ em>","<D.3233.TK>"
"Hồn mai : Tuyển tập tùy bút","SC","","","Thuận Hoá","2007","387tr; 20.5cm","","T454M","Tiếng Việt","Huế","ii895.922 803","Tuyển tập tùy bút của tác giả Nguyễn Xuân Hoàng","","","<Nguyễn Xuân Hoàng>","<Văn học>","<M.3234.TK>"
"Nghề MC- Dẫn chương trình","SC","","","Kim Đồng","2007","63tr; 19cm","Tủ sách hướng nghiệp - Nhất Nghệ Tinh","NGH250M","Tiếng Việt","H","hh791.4","Tư vấn, hướng dẫn chọn nghề MC","","","<NXB Kim Đồng>","<Nghề><Hướng nghiệp>","<D.3235.TK><D.3236.TK>"
"Nghề diễn viên","SC","","","Kim Đồng","2007","63tr; 19cm","Tủ sách huóng nghiệp- Nhất Nghệ Tinh","NGH250D","Tiếng Việt","H","hh792.02","Hướng dẫn, tư vấn chọn nghề Diễn viên","","","<NXB Kim Đồng>","<Nghề nghiệp><Diễn viên>","<D.3237.TK><D.3238.TK>"
"Lĩnh vực chứng khoán","SC","","","Kim Đồng","2007","63tr; 19cm","Tủ sách hướng nghiệp- Nhất Nghệ Tinh","L312V","Tiếng Việt","H","dda332.64","Tư vấn , hướng dẫn chọn nghề Chứng khoán","","","<NXB Kim Đồng>","<Nghề nghiệp><Chứng khoán>","<C.3239.TK><C.3240.TK>"
"Nghề Biên kịch","SC","","","Kim Đồng","2007","63tr; 19cm","Tủ sách hướng nghiệp- Nhất Nghệ Tinh","NGH250B","Tiếng Việt","H","hh792.902","Tư vấn,hướng dẫn chọn nghề Biên kịch","","","<NXB Kim Đồng>","<Nghề nghiệp><Biên kịch>","<D.3241.TK><D.3242.TK>"
"Nghề bán hàng","SC","","","Kim Đồng","2007","63tr; 19cm","Tủ sách huóng nghiệp- Nhất Nghệ Tinh","NGH250B","Tiếng Việt","H","ddc381","Tư vấn ,hướng dẫn chọn nghề bán hàng","","","<NXB Kim Đồng>","<Nghề nghiệp>","<C.3243.TK><C.3244.TK>"
"Tin học dành cho nhân viên văn phòng","SC","","","Thống Kê","2008","478tr; 24cm","","T311H","Tiếng Việt","H","aa005.3","Hướng dẫn sử dụng các chương trình máy tính như: Word, excel, Power point, Internet,..","","","<Nguyễn Thành Cương>","<Tin học>","<D.3247.TK><M.3246.TK>"
"Cẩm nang tổ chức hành chinh-Kỹ thuật trình bày và các mẫu soạn thảo văn bản dùng cho các đơn vị cơ sở","SC","","","Lao Động -Xã Hội","2007","748tr; 28cm","","C120N","Tiếng Việt","H","ddb352.5","Hướng dẫn điều hành, quản lý, kỹ thuật soạn thảo các loại văn bản hành chính và các mẫu trình bày văn bản","","","<NXB Lao Động-Xã Hội>","<Pháp luật><Văn bản>","<D.3245.TK>"
"Lũy Thầy","SC","","","Văn hóa-thông Tin","2008","366tr; 20.5cm","Kể chuyện lịch sử Việt Nam","L523TH","Tiếng Việt","H","kk959.7","Khái quát về một giai đoạn lịch sử,kể về các vị Vua, nhân vật Lịch sử, dã sử lưu truyền trong dân gian","","","<Phạm Minh Thảo>","<Lịch sử>","<M.3248.TK>"
"200 bài luận tiếng anh : 200 new best essays and writings","SC","","","Thanh Niên","2007","365tr; 19cm","","H103TR","Tiếng Việt","H","ee420","Gồm 200 bài luận ngữ, mỗi bài luận ngữ có từ mới và phần bài dịch","","","<Đặng Kim Chi>","<Tiếng Anh>","<D.3250.TK><M.3249.TK><C.3251.TK>"
"Tuyển chọn các bài luyện dịch Anh - Việt căn bản và nâng cao","SC","","","Giao thông vận tải","2005","183tr; 20.5cm","","T520CH","Tiếng Việt","H","ee420","Tuyển chọn các bài luyện dịch Anh-Việt căn bản và nâng cao thuộc lĩnh vực như: Y học. Khoa học công nghệ, Lịch sử, Địa lý,..","","","<Ngọc Huyên>","<Tiếng Anh>","<D.3253.TK><M.3251.TK><C.3254.TK>"
"Truyện cổ tích Thế giới chọn lọc","SC","","","Văn Hóa Thông Tin","2007","290tr; 19cm","","TR527C","Tiếng Việt","H","ddc398.2","Tuyển chọn các câu truyện cổ tích của nhiều nước trên Thế Giới","","","<Bích Ngọc>","<Văn học dân gian><Truyện cổ tích>","<D.3255.TK>"
"Trồng Hoa Lan","SC","In lần thứ ba","","Trẻ","2008","283tr; 19cm","","TR455H","Tiếng Việt","Tp.HCM","ggb635.9","Hướng dẫn cách trồng và chăm sóc Hoa Lan","","","<Đinh Quang Diệp><Nguyễn Công Nghiệp Phạm Hoàng Hộ>","<Nông nghiệp><Cây cảnh>","<M.3256.TK>"
